listing_id,date,num_reviews,reviewers
783202,2024-10-01,5,"2289144,39521135,169987544,164148961,137431102"
886808,2024-11-01,8,"285060394,13492863,48537983,13492863,12906418,492938211,410204453,343825879"
67299,2025-07-01,1,349829992
783202,2024-11-01,3,"6049202,191413023,184133475"
67299,2024-10-01,1,177983
613528,2025-01-01,4,"118206934,5460778,251637748,652483232"
255476,2024-09-01,1,246609644
302705,2024-09-01,1,450352520
67299,2025-05-01,2,"217934395,362011792"
847648,2025-05-01,1,198207088
7097,2025-04-01,4,"179742347,13890179,565053774,56910721"
765315,2024-11-01,1,145007912
38833,2025-07-01,3,"9174788,239899731,370648642"
38833,2025-04-01,3,"3177614,236289604,5870272"
38833,2025-01-01,4,"477802672,7216749,341028749,38233629"
7097,2025-02-01,1,446167962
38833,2024-10-01,3,"93180739,63198052,344677138"
38833,2024-11-01,2,"26022851,61222487"
7097,2024-11-01,2,"124458282,3453060"
7097,2025-05-01,6,"302577757,249479339,80117289,430129919,175378548,411084666"
7097,2025-07-01,2,"108795617,32387454"
7097,2024-12-01,2,"5398524,48081936"
765315,2024-12-01,1,546833145
38833,2024-12-01,3,"386670907,3449787,40150069"
7097,2025-08-01,1,47851520
38833,2025-03-01,5,"229238614,89223757,1579536,536627911,62052770"
38833,2025-05-01,4,"479057690,289986431,414954658,538932321"
38833,2025-08-01,2,"77896808,2682442"
38833,2025-06-01,4,"156555942,3963462,696658499,134584475"
7097,2025-06-01,2,"144171631,419482988"
765315,2024-10-01,2,"196528319,547201363"
44973,2025-01-01,1,232698600
38833,2024-09-01,4,"61772688,44779090,73611122,571790007"
7097,2024-09-01,2,"146004788,16904557"
7097,2024-10-01,5,"400543899,102129340,48775067,145341112,1023731"
38833,2025-02-01,3,"126937781,30203681,76645165"
58059,2025-01-01,1,227490305
7097,2025-03-01,4,"119251712,98537731,561271917,63648196"
765315,2024-09-01,2,"306524896,80812274"
536578,2025-02-01,1,46218645
536578,2024-10-01,1,247623865
82638,2024-10-01,1,4364172
543792,2025-05-01,1,51463069
318021,2024-11-01,1,97637898
152263,2025-06-01,3,"77943589,448492041,504352964"
75635,2024-10-01,1,51201473
152263,2025-04-01,4,"33089954,13167788,34693124,397292349"
152263,2025-07-01,2,"5002422,353292305"
75635,2024-11-01,1,38824267
75635,2025-08-01,1,510604242
152263,2024-10-01,3,"136924702,458157042,471878148"
152263,2024-09-01,1,305061825
318021,2025-06-01,1,541464400
318021,2025-05-01,1,99090373
152263,2024-11-01,2,"117137929,115852300"
543792,2024-10-01,1,96386241
318021,2025-04-01,1,971849
543792,2024-12-01,1,9769467
536578,2025-06-01,1,181604799
890839,2025-05-01,1,250840222
113265,2024-12-01,1,104927200
536578,2024-11-01,1,22179040
82638,2025-02-01,1,569322068
318021,2025-03-01,1,174993423
152263,2024-12-01,2,"651812249,261491347"
82638,2024-11-01,1,58129906
152263,2025-05-01,3,"100835357,137826540,17903"
113265,2025-06-01,1,677705907
82638,2025-05-01,1,13866269
536578,2024-12-01,1,75021625
152263,2025-08-01,1,270742209
804194,2024-10-01,1,655089998
118061,2025-05-01,1,39172372
804194,2025-07-01,4,"595915396,2062894,202685367,18710648"
804194,2025-06-01,3,"284420671,211911419,676122928"
804194,2025-04-01,3,"7142344,90424358,23265998"
804194,2025-03-01,4,"378665358,243062488,423423537,177220622"
804194,2025-05-01,3,"73934686,317312854,7900320"
257097,2025-02-01,1,249634021
15341,2024-10-01,1,191969508
804194,2025-02-01,2,"312462184,55309204"
804194,2024-12-01,1,470383476
118061,2025-06-01,1,196289888
60666,2025-03-01,1,270236262
804194,2024-09-01,2,"144653582,247445980"
15341,2024-12-01,1,47931032
804194,2024-11-01,4,"544713202,168608591,145778712,244165029"
15341,2025-07-01,1,47931032
257097,2025-06-01,1,52675448
15341,2025-05-01,1,296546768
450577,2024-10-01,1,25419337
794156,2025-04-01,1,113386795
