listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
82638,2025-08-01,29,2,0.065,309.0,152.1,154.5,1,2,30,155.0,152.0,309.0
82638,2024-11-01,11,19,0.633,2791.0,146.1,146.9,,,,147.0,146.0,2791.0
42300,2025-08-01,31,0,0.0,0.0,524.4,,,,30,,524.0,0.0
82638,2025-03-01,23,8,0.258,1116.0,140.3,139.5,1,22,30,140.0,140.0,1116.0
42300,2025-02-01,28,0,0.0,0.0,770.6,,,,30,,771.0,0.0
42300,2025-07-01,31,0,0.0,0.0,765.9,,,,30,,766.0,0.0
42300,2025-06-01,30,0,0.0,0.0,751.3,,,,30,,751.0,0.0
42300,2025-01-01,31,0,0.0,0.0,757.5,,,,30,,758.0,0.0
42300,2025-04-01,30,0,0.0,0.0,708.7,,,,30,,709.0,0.0
82638,2025-01-01,20,11,0.355,1530.0,146.9,139.1,4,30,30,139.0,147.0,1530.0
49048,2025-05-01,6,25,0.806,2252.0,89.5,90.1,140,45,30,90.0,90.0,2252.0
251277,2025-07-01,24,7,0.226,823.0,116.9,117.6,65,1,30,118.0,117.0,823.0
826685,2025-05-01,0,31,1.0,1568.0,50.6,50.6,4,30,30,51.0,51.0,1568.0
49048,2025-06-01,6,24,0.8,2114.0,88.5,88.1,71,30,30,88.0,89.0,2114.0
781865,2025-04-01,8,22,0.733,3402.0,159.4,154.6,21,21,30,155.0,159.0,3402.0
781865,2025-03-01,14,17,0.548,2899.0,170.1,170.5,,,30,171.0,170.0,2899.0
49048,2024-09-01,13,17,0.567,1803.0,106.4,106.1,38,17,,106.0,106.0,1803.0
826685,2024-09-01,2,28,0.933,1367.0,48.8,48.8,71,1,,49.0,49.0,1367.0
49048,2025-08-01,7,24,0.774,1830.0,76.4,76.2,113,30,30,76.0,76.0,1830.0
251277,2024-09-01,30,0,0.0,0.0,126.1,,,,,,126.0,0.0
49048,2025-04-01,30,0,0.0,0.0,88.9,,,,30,,89.0,0.0
49048,2024-10-01,31,0,0.0,0.0,105.7,,,,,,106.0,0.0
49048,2024-12-01,31,0,0.0,0.0,103.6,,,,,,104.0,0.0
781865,2024-09-01,26,4,0.133,671.0,169.1,167.8,26,17,,168.0,169.0,671.0
781865,2024-10-01,0,31,1.0,5354.0,172.7,172.7,,,,173.0,173.0,5354.0
781865,2025-08-01,17,14,0.452,1324.0,95.9,94.6,56,13,30,95.0,96.0,1324.0
251277,2024-12-01,20,11,0.355,1694.0,150.4,154.0,37,3,,154.0,150.0,1694.0
251277,2025-02-01,27,1,0.036,123.0,121.9,123.0,1,1,30,123.0,122.0,123.0
251277,2025-08-01,19,12,0.387,1431.0,116.3,119.2,54,13,30,119.0,116.0,1431.0
251277,2025-01-01,27,4,0.129,522.0,129.8,130.5,1,1,30,131.0,130.0,522.0
826685,2025-08-01,23,8,0.258,444.0,54.7,55.5,1,8,30,56.0,55.0,444.0
781865,2024-11-01,4,26,0.867,4602.0,177.2,177.0,1,27,,177.0,177.0,4602.0
781865,2025-07-01,12,19,0.613,1874.0,97.8,98.6,34,20,30,99.0,98.0,1874.0
