listing_id,date,num_reviews,reviewers
6056440,2025-05-01,2,"63371751,388213072"
4516591,2025-06-01,1,268882040
4565516,2024-09-01,4,"77945170,531270345,548421187,239853509"
4516591,2024-12-01,1,164656471
2247703,2025-08-01,2,"472741277,60035814"
1145641,2025-02-01,1,6068699
3992907,2025-06-01,3,"453275061,28154500,445412264"
3992907,2025-08-01,1,17888261
892352,2025-05-01,5,"28461127,29490056,37305598,41412692,439492152"
3992907,2024-09-01,1,42292455
1604069,2025-07-01,3,"5066113,699241939,10143096"
1604069,2025-04-01,1,677441494
5277539,2025-03-01,2,"313422333,83926418"
5277539,2024-09-01,7,"595768293,112930249,436925563,74535304,599068630,76638456,525802772"
3992907,2024-11-01,2,"8654060,490998558"
1153863,2025-06-01,1,321494851
4930281,2024-09-01,1,497316057
5277539,2024-10-01,5,"246473953,4035816,599383752,48637258,183428269"
892352,2025-03-01,1,146140555
1604069,2024-09-01,3,"9340692,527523782,346594958"
5277539,2025-05-01,4,"214159302,7552868,214159302,331121957"
892352,2025-04-01,2,"205001963,146779728"
1604069,2025-05-01,3,"45026640,12574337,402677295"
3992907,2025-05-01,2,"101226984,334765812"
1153863,2024-09-01,2,"4068406,597744122"
892352,2025-07-01,1,6805282
1604069,2024-12-01,3,"247895957,145896090,163464728"
184784,2025-01-01,1,116545457
5431514,2024-10-01,1,471606150
4930281,2025-06-01,5,"464764055,560188411,61863563,300377476,154889987"
1153863,2025-08-01,1,95891759
1604069,2024-11-01,3,"52582346,15154082,496220879"
5277539,2025-06-01,5,"208683374,110087495,34432186,89717875,114724193"
4930281,2024-11-01,1,660729794
1604069,2024-10-01,2,"146762511,501562918"
5277539,2025-07-01,5,"705483319,697179424,269588255,18563725,12358396"
3992907,2025-04-01,1,8034134
4848038,2024-10-01,1,72756610
5277539,2025-04-01,3,"54556463,564006632,312907310"
3992907,2025-07-01,2,"697536821,314730651"
4848038,2024-09-01,4,"391480297,568250828,597152533,161010832"
