feature,importance
amenity_210,0.0017623244985011791
amenity_37,0.0017620512010837392
amenity_100,0.001754754470899754
amenity_145,0.0017275227780064004
amenity_113,0.001711976358823273
property_type_Room in hotel,0.0016940316186583287
amenity_49,0.0016668401291235965
neighbourhood_cleansed_Upper East Side,0.0015963825102021916
amenity_99,0.0015650066366976268
amenity_182,0.001481115177582066
property_type_Entire loft,0.0014758402172944148
neighbourhood_cleansed_Bedford-Stuyvesant,0.001466568013227242
amenity_30,0.001459144074250458
amenity_226,0.0014496851450606029
amenity_125,0.0014279737495468642
amenity_68,0.0014273519330111515
amenity_231,0.001420677993457631
amenity_185,0.001408036746618463
amenity_92,0.0013418447885468001
neighbourhood_cleansed_Bushwick,0.0012929911727276807
amenity_244,0.0012665108844257217
property_type_Entire condo,0.0011966276160365345
neighbourhood_cleansed_Midtown,0.0011963915370666548
amenity_58,0.0011550995892500174
amenity_115,0.0011459126939594184
amenity_39,0.0011043579979710437
amenity_72,0.001047875079537982
amenity_131,0.0010417030432361683
property_type_Private room in townhouse,0.0010048549702446384
amenity_243,0.0009653602993628728
amenity_98,0.000926309391705247
amenity_44,0.000921021152966042
amenity_144,0.000907885543965827
amenity_217,0.0009031281008423914
amenity_114,0.0008841608056339731
amenity_157,0.0008642263034899343
neighbourhood_cleansed_Crown Heights,0.0008421240647458176
amenity_192,0.000822809368394003
neighbourhood_cleansed_Williamsburg,0.000801385211102222
amenity_19,0.0007910418122645372
neighbourhood_cleansed_Washington Heights,0.0007789935706991381
amenity_0,0.0007765598101913168
neighbourhood_cleansed_Prospect Heights,0.0007432299044114292
neighbourhood_cleansed_East Flatbush,0.0007328745763678309
amenity_197,0.0007220617763269422
amenity_60,0.0007197481721788933
amenity_180,0.0006963523133700334
neighbourhood_cleansed_Arverne,0.0006959147147071275
amenity_167,0.0006828626616970883
neighbourhood_cleansed_Upper West Side,0.0006790586809180504
neighbourhood_cleansed_Greenpoint,0.0006733639637007261
amenity_222,0.0006726300761890694
amenity_195,0.0006645368275389162
neighbourhood_cleansed_Chelsea,0.0006626740421611294
room_type_Hotel room,0.0006603204591802019
neighbourhood_cleansed_Sea Gate,0.0006500087437039834
amenity_186,0.0006431351795985438
amenity_103,0.0006079904761367714
amenity_239,0.0006029725648187064
neighbourhood_cleansed_West Village,0.000587431300549161
