City,Region,Country,Date,listings_url,geojson_url
Dublin,Leinster,Ireland,2025-06-13,https://data.insideairbnb.com/ireland/leinster/dublin/2025-06-13/data/listings.csv.gz,https://data.insideairbnb.com/ireland/leinster/dublin/2025-06-13/visualisations/neighbourhoods.geojson
Dublin,Leinster,Ireland,2025-03-06,https://data.insideairbnb.com/ireland/leinster/dublin/2025-03-06/data/listings.csv.gz,https://data.insideairbnb.com/ireland/leinster/dublin/2025-03-06/visualisations/neighbourhoods.geojson
Dublin,Leinster,Ireland,2024-12-12,https://data.insideairbnb.com/ireland/leinster/dublin/2024-12-12/data/listings.csv.gz,https://data.insideairbnb.com/ireland/leinster/dublin/2024-12-12/visualisations/neighbourhoods.geojson
Edinburgh,Scotland,United Kingdom,2025-06-15,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2025-06-15/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2025-06-15/visualisations/neighbourhoods.geojson
Edinburgh,Scotland,United Kingdom,2025-03-08,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2025-03-08/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2025-03-08/visualisations/neighbourhoods.geojson
Edinburgh,Scotland,United Kingdom,2024-12-14,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2024-12-14/data/listings.csv.gz,https://data.insideairbnb.com/united-kingdom/scotland/edinburgh/2024-12-14/visualisations/neighbourhoods.geojson
Euskadi,Euskadi,Spain,2025-06-28,https://data.insideairbnb.com/spain/pv/euskadi/2025-06-28/data/listings.csv.gz,https://data.insideairbnb.com/spain/pv/euskadi/2025-06-28/visualisations/neighbourhoods.geojson
Euskadi,Euskadi,Spain,2025-03-27,https://data.insideairbnb.com/spain/pv/euskadi/2025-03-27/data/listings.csv.gz,https://data.insideairbnb.com/spain/pv/euskadi/2025-03-27/visualisations/neighbourhoods.geojson
Euskadi,Euskadi,Spain,2024-12-31,https://data.insideairbnb.com/spain/pv/euskadi/2024-12-31/data/listings.csv.gz,https://data.insideairbnb.com/spain/pv/euskadi/2024-12-31/visualisations/neighbourhoods.geojson
Florence,Toscana,Italy,2025-06-19,https://data.insideairbnb.com/italy/toscana/florence/2025-06-19/data/listings.csv.gz,https://data.insideairbnb.com/italy/toscana/florence/2025-06-19/visualisations/neighbourhoods.geojson
Florence,Toscana,Italy,2025-03-15,https://data.insideairbnb.com/italy/toscana/florence/2025-03-15/data/listings.csv.gz,https://data.insideairbnb.com/italy/toscana/florence/2025-03-15/visualisations/neighbourhoods.geojson
Florence,Toscana,Italy,2024-12-20,https://data.insideairbnb.com/italy/toscana/florence/2024-12-20/data/listings.csv.gz,https://data.insideairbnb.com/italy/toscana/florence/2024-12-20/visualisations/neighbourhoods.geojson
Fort Worth,Texas,United States,2025-06-13,https://data.insideairbnb.com/united-states/tx/fort-worth/2025-06-13/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/fort-worth/2025-06-13/visualisations/neighbourhoods.geojson
Fort Worth,Texas,United States,2025-03-06,https://data.insideairbnb.com/united-states/tx/fort-worth/2025-03-06/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/fort-worth/2025-03-06/visualisations/neighbourhoods.geojson
Fort Worth,Texas,United States,2024-12-12,https://data.insideairbnb.com/united-states/tx/fort-worth/2024-12-12/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/fort-worth/2024-12-12/visualisations/neighbourhoods.geojson
Geneva,Geneva,Switzerland,2025-06-25,https://data.insideairbnb.com/switzerland/geneva/geneva/2025-06-25/data/listings.csv.gz,https://data.insideairbnb.com/switzerland/geneva/geneva/2025-06-25/visualisations/neighbourhoods.geojson
Geneva,Geneva,Switzerland,2025-03-23,https://data.insideairbnb.com/switzerland/geneva/geneva/2025-03-23/data/listings.csv.gz,https://data.insideairbnb.com/switzerland/geneva/geneva/2025-03-23/visualisations/neighbourhoods.geojson
Geneva,Geneva,Switzerland,2024-12-29,https://data.insideairbnb.com/switzerland/geneva/geneva/2024-12-29/data/listings.csv.gz,https://data.insideairbnb.com/switzerland/geneva/geneva/2024-12-29/visualisations/neighbourhoods.geojson
Ghent,Flemish Region,Belgium,2025-06-24,https://data.insideairbnb.com/belgium/vlg/ghent/2025-06-24/data/listings.csv.gz,https://data.insideairbnb.com/belgium/vlg/ghent/2025-06-24/visualisations/neighbourhoods.geojson
